tNumRatings,tFname,contentType,institution_name,tSid,tDept,rating_class,tLname,tid,categoryType,tMiddlename,overall_rating
2,Cynthia,TEACHER,University of California Berkeley,1072,Tagalog,good,Aban,2208233,PROFESSOR,,5.0
0,Pieter,TEACHER,University of California Berkeley,1072,Computer Science,zero,Abbeel,1981669,PROFESSOR,,N/A
2,Carolyn,TEACHER,University of California Berkeley,1072,Mathematics,good,Abbott,2300627,PROFESSOR,R.,5.0
23,Elizabeth,TEACHER,University of California Berkeley,1072,English,good,Abel,467924,PROFESSOR,,4.1
1,Dor,TEACHER,University of California Berkeley,1072,Education,good,Abrahamson,1558897,PROFESSOR,,4.0
33,Richard,TEACHER,University of California Berkeley,1072,History,average,Abrams,224624,PROFESSOR,,3.0
10,Melanie,TEACHER,University of California Berkeley,1072,English,good,Abrams,505806,PROFESSOR,,4.8
7,Kathryn,TEACHER,University of California Berkeley,1072,Legal Studies,good,Abrams,928282,PROFESSOR,,4.6
4,Barbara,TEACHER,University of California Berkeley,1072,Public Health,good,Abrams,1042490,PROFESSOR,,4.6
10,As'Ad,TEACHER,University of California Berkeley,1072,Near Eastern Studies,average,Abukhalil,848844,PROFESSOR,,2.8
5,Roni,TEACHER,University of California Berkeley,1072,Interdisciplinary Studies,good,Abusaad,1145826,PROFESSOR,,4.4
1,Sarah,TEACHER,University of California Berkeley,1072,Social Welfare,good,Accomazzo,2052162,PROFESSOR,,4.5
40,Robert,TEACHER,University of California Berkeley,1072,Geography,good,Acker,483415,PROFESSOR,,3.8
6,David,TEACHER,University of California Berkeley,1072,Biology,good,Ackerly,1187331,PROFESSOR,,4.9
0,Edwin,TEACHER,University of California Berkeley,1072,Sociology,zero,Ackerman,2151349,PROFESSOR,,N/A
120,Dan,TEACHER,University of California Berkeley,1072,Economics,poor,Acland,1470607,PROFESSOR,,2.0
0,Adrian,TEACHER,University of California Berkeley,1072,English,zero,Acu,1810744,PROFESSOR,,N/A
14,Kevin,TEACHER,University of California Berkeley,1072,History,average,Adams,579494,PROFESSOR,,2.8
0,Anthony,TEACHER,University of California Berkeley,1072,Optometry,zero,Adams,1216946,PROFESSOR,,N/A
21,Anthony,TEACHER,University of California Berkeley,1072,History,good,Adamthwaite,665611,PROFESSOR,,4.5
7,Deolinda,TEACHER,University of California Berkeley,1072,Portuguese,good,Adao,287571,PROFESSOR,,5.0
5,Arash,TEACHER,University of California Berkeley,1072,Architecture,good,Adel,1850328,PROFESSOR,,3.6
102,Ani,TEACHER,University of California Berkeley,1072,Statistics,good,Adhikari,124596,PROFESSOR,,4.3
2,Aditya,TEACHER,University of California Berkeley,1072,Mathematics,good,Adiredja,1607970,PROFESSOR,,4.5
7,Ilan,TEACHER,University of California Berkeley,1072,Industrial Engineering,good,Adler,631997,PROFESSOR,,4.0
1,Peter,TEACHER,University of California Berkeley,1072,Biology,good,Adler,847207,PROFESSOR,,4.5
2,Rutie,TEACHER,University of California Berkeley,1072,Languages,average,Adler,938371,PROFESSOR,,3.2
1,Robert,TEACHER,University of California Berkeley,1072,German,good,Adler Peckerar,1031955,PROFESSOR,,4.5
37,Mina,TEACHER,University of California Berkeley,1072,Mathematics,good,Aganagic,596854,PROFESSOR,,3.5
47,Sabrina,TEACHER,University of California Berkeley,1072,Anthropology,average,Agarwal,586255,PROFESSOR,,3.0
0,KJ,TEACHER,University of California Berkeley,1072,Comparative Literature,zero,Agbogdike,1732409,PROFESSOR,,N/A
20,Vinod,TEACHER,University of California Berkeley,1072,Political Science,average,Aggarwal,462835,PROFESSOR,,2.5
32,Ayse,TEACHER,University of California Berkeley,1072,Women's Studies,good,Agis,446616,PROFESSOR,,3.5
1,Alice,TEACHER,University of California Berkeley,1072,Mechanical Engineering,good,Agogino,1818003,PROFESSOR,,5.0
33,Ian,TEACHER,University of California Berkeley,1072,Mathematics,poor,Agol,1152436,PROFESSOR,,1.9
5,Maria,TEACHER,University of California Berkeley,1072,Anthropology,good,Agozzino,444615,PROFESSOR,,4.8
13,Shahwali,TEACHER,University of California Berkeley,1072,Near Eastern Studies,good,Ahmadi,876887,PROFESSOR,,4.5
2,Aftab,TEACHER,University of California Berkeley,1072,Languages,good,Ahmed,1269297,PROFESSOR,,4.5
5,Asad,TEACHER,University of California Berkeley,1072,Near Eastern Studies,good,Ahmed,1797253,PROFESSOR,Q.,4.6
17,Russell,TEACHER,University of California Berkeley,1072,Physical Ed,good,Ahn,629346,PROFESSOR,,4.0
4,David,TEACHER,University of California Berkeley,1072,Economics,good,Ahn,721957,PROFESSOR,,4.2
0,Jean,TEACHER,University of California Berkeley,1072,Music,zero,Ahn,2021638,PROFESSOR,,N/A
1,Joonhong,TEACHER,University of California Berkeley,1072,Nuclear Engineering,good,Ahn,2119555,PROFESSOR,,5.0
1,George,TEACHER,University of California Berkeley,1072,Economics,good,Akerlof,511397,PROFESSOR,,4.5
4,Saleem,TEACHER,University of California Berkeley,1072,Anthropology,good,Al-Bahloly,1718321,PROFESSOR,,4.1
6,Reza,TEACHER,University of California Berkeley,1072,Mechanical Engineering,good,Alam,1681018,PROFESSOR,,4.5
5,Alan,TEACHER,University of California Berkeley,1072,Business Administration,good,Alan Ross,1732256,PROFESSOR,,3.9
5,Rodolfo,TEACHER,University of California Berkeley,1072,History,good,Alaniz,2157671,PROFESSOR,John,4.4
7,Norma,TEACHER,University of California Berkeley,1072,Women's Studies,poor,Alarcon,412494,PROFESSOR,,2.3
2,Badr,TEACHER,University of California Berkeley,1072,Physics,good,Albanna,1037003,PROFESSOR,,5.0
6,Claudia,TEACHER,University of California Berkeley,1072,Social Welfare,good,Albano,1492733,PROFESSOR,,4.8
12,Tom,TEACHER,University of California Berkeley,1072,Biology,good,Alber,472560,PROFESSOR,,4.0
13,Catherine,TEACHER,University of California Berkeley,1072,Legal Studies,average,Albiston,619583,PROFESSOR,,3.2
10,Marco,TEACHER,University of California Berkeley,1072,Mathematics,good,Aldi,1033371,PROFESSOR,,3.8
7,David,TEACHER,University of California Berkeley,1072,Statistics,average,Aldous,578522,PROFESSOR,,3.0
8,Ronelle,TEACHER,University of California Berkeley,1072,Languages,good,Alexander,802764,PROFESSOR,,4.0
0,Keith,TEACHER,University of California Berkeley,1072,Chemical Engineering,zero,Alexander,1405349,PROFESSOR,,N/A
0,Nicole,TEACHER,University of California Berkeley,1072,Law,zero,Alexander,1737107,PROFESSOR,,N/A
1,Nicole,TEACHER,University of California Berkeley,1072,Business Administration,good,Alexander,1737108,PROFESSOR,,5.0
12,Arkady,TEACHER,University of California Berkeley,1072,Languages,good,Alexeev,580538,PROFESSOR,,5.0
6,D,TEACHER,University of California Berkeley,1072,Anthropology,good,Alfonso,1086226,PROFESSOR,,3.9
0,Robert,TEACHER,University of California Berkeley,1072,Film,zero,Alford,2041739,PROFESSOR,,N/A
14,Hamid,TEACHER,University of California Berkeley,1072,Near Eastern Studies,good,Algar,543830,PROFESSOR,,3.9
3,Ayla,TEACHER,University of California Berkeley,1072,Near Eastern Studies,good,Algar,578597,PROFESSOR,,4.8
1,Patricia,TEACHER,University of California Berkeley,1072,Spanish,good,Algara,782968,PROFESSOR,,4.5
13,Paul,TEACHER,University of California Berkeley,1072,Chemistry,average,Alivisatos,178580,PROFESSOR,,3.1
7,Michael,TEACHER,University of California Berkeley,1072,Comparative Literature,good,Allan,653568,PROFESSOR,,4.8
0,Eva,TEACHER,University of California Berkeley,1072,Art History,zero,Allan,2284975,PROFESSOR,,N/A
9,Robert,TEACHER,University of California Berkeley,1072,African-American Studies,good,Allen,686695,PROFESSOR,,5.0
24,Richard,TEACHER,University of California Berkeley,1072,Earth Science,good,Allen,760005,PROFESSOR,,4.5
27,Mont,TEACHER,University of California Berkeley,1072,Art History,good,Allen,1135949,PROFESSOR,,4.8
0,Barbara,TEACHER,University of California Berkeley,1072,Environ. Sci. Policy & Mgmt.,zero,Allen-Diaz,1540812,PROFESSOR,,N/A
5,Mason,TEACHER,University of California Berkeley,1072,German,good,Allred,1564161,PROFESSOR,,4.1
1,David,TEACHER,University of California Berkeley,1072,Mechanical Engineering,average,Allstot,2096862,PROFESSOR,,3.0
6,Rodrigo,TEACHER,University of California Berkeley,1072,Environ. Sci. Policy & Mgmt.,average,Almeida,1480865,PROFESSOR,,3.0
4,Elad,TEACHER,University of California Berkeley,1072,Electrical Engineering,good,Alon,2057533,PROFESSOR,,5.0
12,Mark,TEACHER,University of California Berkeley,1072,Biology,good,Alper,482803,PROFESSOR,,3.9
12,Nezar,TEACHER,University of California Berkeley,1072,Urban Design & Development,good,Alsayyad,615176,PROFESSOR,,3.8
2,Robert,TEACHER,University of California Berkeley,1072,Comparative Literature,good,Alter,1246671,PROFESSOR,,4.8
42,Charles,TEACHER,University of California Berkeley,1072,English,average,Altieri,309183,PROFESSOR,,2.6
10,Miguel,TEACHER,University of California Berkeley,1072,Environmental Science,average,Altieri,538047,PROFESSOR,,3.3
24,Joel,TEACHER,University of California Berkeley,1072,English,average,Altman,409317,PROFESSOR,,3.3
1,Meg,TEACHER,University of California Berkeley,1072,Rhetoric,average,Alvarado Saggese,2018340,PROFESSOR,,2.5
20,Walter,TEACHER,University of California Berkeley,1072,Earth Science,good,Alvarez,350507,PROFESSOR,,4.4
2,Lisa,TEACHER,University of California Berkeley,1072,Civil Engineering,good,Alvarez-Cohen,731573,PROFESSOR,,5.0
10,Sharon,TEACHER,University of California Berkeley,1072,Biology,good,Amacher,594997,PROFESSOR,,4.4
4,Andrew,TEACHER,University of California Berkeley,1072,Environmental Science,good,Amacher,598679,PROFESSOR,,5.0
20,Ana,TEACHER,University of California Berkeley,1072,Spanish,average,Ameal-Guerra,929346,PROFESSOR,,2.5
1,Marco,TEACHER,University of California Berkeley,1072,Psychology,good,Amezcua,2241006,PROFESSOR,,5.0
12,Ron,TEACHER,University of California Berkeley,1072,Environmental Science,good,Amundson,620720,PROFESSOR,,3.8
73,Nancy,TEACHER,University of California Berkeley,1072,Nutrition,good,Amy,469028,PROFESSOR,,3.6
2,Jinsoo,TEACHER,University of California Berkeley,1072,East Asian Studies,good,An,2261606,PROFESSOR,,3.5
2,Andreas,TEACHER,University of California Berkeley,1072,Philosophy,good,Anagnostopoulos,1070626,PROFESSOR,,4.2
1,James,TEACHER,University of California Berkeley,1072,Physics,good,Analytis,2143982,PROFESSOR,,5.0
0,Nandini,TEACHER,University of California Berkeley,1072,Chemistry,zero,Ananth,621021,PROFESSOR,,N/A
1,Venkat,TEACHER,University of California Berkeley,1072,Electrical Engineering,average,Anantharam,1067948,PROFESSOR,,3.0
0,Sole ,TEACHER,University of California Berkeley,1072,Italian,zero,Anatrone,2048673,PROFESSOR,,N/A
2,William,TEACHER,University of California Berkeley,1072,Astronomy,good,Anders,1128735,PROFESSOR,,5.0
6,Richard,TEACHER,University of California Berkeley,1072,Chemistry,poor,Andersen,48602,PROFESSOR,,2.2
8,Els,TEACHER,University of California Berkeley,1072,English,good,Anderson,359112,PROFESSOR,,4.8
36,Margaret,TEACHER,University of California Berkeley,1072,History,good,Anderson,458295,PROFESSOR,,4.0
0,Warwick,TEACHER,University of California Berkeley,1072,Nutrition,zero,Anderson,563284,PROFESSOR,,N/A
3,Meghan,TEACHER,University of California Berkeley,1072,Mathematics,good,Anderson,653268,PROFESSOR,,3.8
6,Kea,TEACHER,University of California Berkeley,1072,English,good,Anderson,714821,PROFESSOR,,4.8
13,Diane,TEACHER,University of California Berkeley,1072,Psychology,good,Anderson,769796,PROFESSOR,,3.8
0,Lauren,TEACHER,University of California Berkeley,1072,Physics,zero,Anderson,1584165,PROFESSOR,,N/A
0,Mark,TEACHER,University of California Berkeley,1072,Architecture,zero,Anderson,1724171,PROFESSOR,,N/A
6,Abigail,TEACHER,University of California Berkeley,1072,Sociology,good,Andrews,1287866,PROFESSOR,,4.2
1,Uri,TEACHER,University of California Berkeley,1072,Mathematics,good,Andrews,1328116,PROFESSOR,,5.0
